四六级,主词,衍生词,COCA衍生词
四,clear,clearly,unclear
六,clearance,,
四,clear-cut,,
六,clearing,,
六,clench,,
六,clergy,,
四,clerk,clerical,
四,clever,,
六,cliche,,
四,click,,
四,client,,
四,cliff,,
四,climate,climatic,
四,climax,,
四,climb,,
四,cling,,
四,clinic,clinical,
四,clip,,
六,cloak,,
四,clock,,
四,clockwise,,
六,clog,,
四,clone,,
四,close,,closely;closer;closed;closest;closure;closing
六,closet,,
四,cloth,,
四,clothe,clothing,
四,clothes,,
四,cloud,cloudy,
四,clown,,
四,club,,
四,clue,,
四,clumsy,,
六,cluster,,
六,clutch,,
四,coach,,coaching
四,coal,,
六,coalition,,
四,coarse,,
四,coast,coastal,
四,coat,,
六,cocaine,,
四,cock,,
六,cockpit,,
六,cocktail,,
六,coconut,,
四,code,,
四,coffee,,
六,cognitive,cognition,
四,coherent,coherence,
四,cohesion,cohesive,
四,coil,,
四,coin,coinage,
六,coincide,coincidence,
四,cold,,
四,collaborate,collaboration;collaborative,
四,collapse,,
四,collar,,
四,colleague,,
四,collect,collection;collective,collector
四,college,,
六,collide,collision,
四,colon,semi-colon,
六,colonel,,
四,colony,colonial;colonialism;colonize/-ise,
四,colo(u)r,colo(u)rful,colored
四,column,columnist,
四,comb,,
四,combat,combative,
四,combine,combination,combined
四,come,,coming;upcoming;came
四,comedy,,
六,comet,,
四,comfort,comfortable,uncomfortable(高考);discomfort;comfortably
六,comic,,
四,comma,,
四,command,commander,
六,commemorate,commemoration,
四,commence,commencement,
六,commend,commendation,
四,comment,commentary;commentator,
四,commerce,commercial;commercialize/-ise,
四,commission,,commissioner
四,commit,commitment,committed
四,committee,,
四,commodity,,
四,common,,commonly;uncommon
四,commonplace,,
六,commonwealth,,
四,commune,communist;communism,communal
四,communicate,communication;communicative,
四,community,,
四,commute,commuter,
四,compact,,
四,companion,companionship,
四,company,,
四,compare,comparison;comparative;comparable,
六,compartment,,
四,compass,,encompass
六,compassion,compassionate,
四,compatible,compatibility,
四,compel,compelling,
四,compensate,compensation;compensatory,
四,compete,competition;competitive;competitor,competing
四,competent,competence,
六,compile,compilation,
六,complacent,complacency,
四,complain,complaint,
六,complement,complementary,
四,complete,completion,completely(COCA/初中)
四,complex,complexity,
六,complexion,,
四,complicate,complicated;complication,
六,compliment,complimentary,
四,comply,compliance,
四,component,,
四,compose,composition;composer,
六,composite,,
四,compound,,
四,comprehend,comprehension,
四,comprehensive,,
六,compress,compression,
四,comprise,,
四,compromise,,
四,compulsory,,
四,compute,computer;computerize/-ise;computation,
四,comrade,,
四,conceal,concealment,
六,concede,concession,
六,conceit,conceited,
六,conceive,conception,
四,concentrate,concentration,
四,concept,conceptual,
四,concern,concerned;concerning,
四,concert,concerted,
六,concise,,
四,conclude,conclusion;conclusive,
四,concrete,,
六,concurrent,,
四,condemn,condemnation,
四,condense,condensation,
四,condition,conditional;conditioner,unconditional(高考);conditioning
六,condolence,,
六,conducive,,
四,conduct,conductor,semiconductor(研)
六,confederation,confederate,
六,confer,,
四,conference,,
四,confess,confession,
六,confide,,
四,confidence,confident;confidential,
六,configuration,,
四,confine,confinement,
四,confirm,confirmation,
四,conflict,,conflicting
四,conform,conformity,
四,confront,confrontation,
四,Confucian,Confucianism,
四,confuse,confusion,confused;confusing
四,congratulate,congratulation;congratulatory,
六,congregate,congregation,
四,congress,congressional,Congress;congressman
四,conjunction,,
四,connect,connection/-xion,
六,connotation,,
四,conquer,conqueror;conquest,
四,conscience,,
四,conscientious,,
四,conscious,consciousness,unconscious(高考)
六,consecutive,,
四,consensus,,
四,consent,,
四,consequence,consequent;consequently,
四,conservative,,
六,conserve,conservation,
四,consider,consideration;considering,
四,considerable,,considerably
四,considerate,,
四,consist,,
四,consistent,consistency,consistently
六,console,consolation,
四,consolidate,consolidation,
六,conspicuous,,
六,conspire,conspiracy,
四,constant,,constantly
六,constituent,constituency,
四,constitute,,
四,constitution,constitutional,
六,constrain,constraint,
四,construct,construction,reconstruction
六,consulate,consul,
四,consult,consultation;consultative;consultant,consulting
四,consume,consumer;consumption,
四,contact,,
六,contagious,,
四,contain,container;containment,
四,contaminate,contamination,
六,contemplate,contemplation;contemplative,
四,contemporary,,
四,contempt,contemptible,
四,contend,contention;contentious,contender
四,content,contented,
四,contest,contestant,
四,context,contextual,
四,continent,continental,
六,contingent,,
四,continue,continuation;continual;continuous;continuity,continued;continuing;continually
四,contract,contractor;contraction,
四,contradict,contradiction;contradictory,
四,contrary,,
四,contrast,,
四,contribute,contribution;contributor,
六,contrive,,
四,control,,controller
四,controversy,controversial,
六,convene,,
四,convenient,convenience,
四,convention,conventional,
六,converge,convergence,
四,converse,conversation,conversely(研)
四,convert,conversion;convertible,
四,convey,conveyance,
六,convict,conviction,
四,convince,convincing,convinced
六,convoy,,
四,cook,cooker,cooking
四,cookie,,
四,cool,,
四,cooperate,cooperation;cooperative,
四,coordinate,coordination;coordinator,
四,cop,,
四,cope,,
四,copper,,
四,copy,,
四,copyright,,
六,coral,,
四,cord,,
六,cordial,cordiality,
四,core,,
六,cork,,
四,corn,,
四,corner,,
四,cornerstone,,
六,corporal,,
四,corporation,corporate,
四,corps,,
六,corpse,,
四,correct,correction;corrective,correctly
六,correlate,correlation;correlative,
四,correspond,correspondence;correspondent;corresponding,
四,corridor,,
六,corrode,corrosion,
四,corrupt,corruption,
六,cosmetic,,
六,cosmopolitan,,
四,cosmos,cosmic,
四,cost,costly,
四,costume,,
四,cottage,,
四,cotton,,
四,couch,,
四,cough,,
四,could,,
四,council,council(l)or,
四,counsel,counsel(l)or,counseling
四,count,,countless;recount
四,countdown,,
四,counter,,
六,counteract,counteraction,
六,counterfeit,,
四,counterpart,,
四,country,,
四,countryside,,
四,county,,
六,coup(d'état),,
四,couple,,
四,coupon,,
四,courage,courageous,
四,course,,
四,court,,
六,courtesy,,
四,courtyard,,
四,cousin,,
四,cover,coverage,
四,cow,,
四,coward,cowardly;cowardice,
四,cowboy,,
六,cozy/-sy,,
四,crab,,
四,crack,,
六,crackdown,,
四,cracker,,
六,cradle,,
四,craft,,
六,cram,,
四,crane,,
四,crash,,
六,crate,,
六,crave,,
四,crawl,,
四,crazy,craze,
四,cream,creamy,
四,create,creation;creative;creator,creativity;re-create
四,creature,,
六,credential,,
六,credible,credibility,
四,credit,creditable,
四,creep,,
四,crew,,
六,cricket,,
四,crime,criminal,
六,cripple,,
四,crisis,,
六,crisp,,
四,criterion,,criteria
四,criticize/-ise,criticism;critic;critical,critique;critically
四,crocodile,,
四,crop,,
四,cross,crossing,
六,crouch,,
六,crow,,
四,crowd,crowded,
四,crown,,
四,crucial,,
六,crude,,
四,cruel,cruelty,
四,cruise,cruiser,
六,crumble,,
六,crunch,,
四,crush,,
六,crust,,
四,cry,,crying
四,crystal,,
六,cub,,
四,cube,cubic,
四,cucumber,,
四,cue,,
六,cuisine,,
六,culminate,culmination,
六,cult,,
四,cultivate,cultivation,
四,culture,cultural,culturally;multicultural
六,cumulative,,
六,cunning,,
四,cup,,
四,cupboard,,
四,curb,,
四,cure,curable,
六,curfew,,
四,curious,curiosity,
四,curl,,
四,currency,,
四,current,currently,
四,curriculum,,
四,curse,,
六,curtail,,
四,curtain,,
四,curve,,
四,cushion,,
六,custody,,
四,custom,customary,
四,customer,,
四,customs,,
四,cut,,cutting
四,cute,,
四,cyberspace,,
四,cycle,cycling;cyclist,
六,cylinder,,
六,cynical,cynicism,
四,dad(dy),,daddy
四,daily,,
四,dairy,,
四,dam,,
四,damage,,
四,damn,,
四,damp,dampen,
四,dance,,dancer;dancing
四,danger,dangerous,
四,dare,daring,
四,dark,darkness;darken,
四,darling,,
六,dart,,
四,dash,,
四,data,datum,
四,database,,
四,date,dating,
四,daughter,,
四,dawn,,
四,day,daily,
四,daylight,,
六,dazzle,,
四,dead,,
四,deadline,,
六,deadlock,,
四,deadly,,
四,deaf,,
四,deal,dealer;dealing,
四,dean,,
四,dear,,
四,death,,
四,debate,,
六,debris,,
四,debt,debtor,
六,debut,,
四,decade,,
四,decay,,
四,deceive,deceit;deception;deceptive,
四,December,,
四,decent,,
四,decide,decision;decisive,
六,decimal,,
四,deck,,
四,declare,declaration;declarative,
四,decline,,
四,decorate,decoration;decorative,
四,decrease,,
六,decree,,
六,dedicate,dedication,dedicated
六,deduce,deducible,
六,deduct,deduction;deductive;deductible,
四,deed,,
四,deem,,
四,deep,deeply;depth,deepen
四,deer,,
六,default,,
四,defeat,,
四,defect,defective;defection,
四,defend,defense/-ce;defensive;defendant,defender
六,defer,,
四,deficient,deficiency,
四,deficit,,
四,define,definition,
四,definite,definitely;indefinite(六),definitive
四,defy,defiance;defiant,
六,degenerate,degeneration,
六,degrade,degradation,
四,degree,,
四,delay,,
四,delegate,delegation,
四,delete,deletion,
四,deliberate,deliberation,deliberately(高考)
六,delicacy,,
四,delicate,,
四,delicious,,
四,delight,delightful,delighted(高考)
四,deliver,delivery,
六,delude,delusion,
四,demand,demanding,
四,democracy,democratic;democrat,Democrat
六,demographic,,
四,demonstrate,demonstration/demo;demonstrative,
六,denote,denotation,
六,denounce,denunciation,
四,dense,density,
四,dent,,
四,dental,,
四,dentist,,
四,deny,denial,
四,depart,departure,
四,department,,
四,depend,dependent;dependence;dependable;independent(四);independence(四),independently;depending
六,depict,depiction,
六,deplete,depletion,
六,deplore,,
六,deploy,deployment,
六,deport,deportation,
四,deposit,,
六,depot,,
六,depreciate,depreciation,
四,depress,depression,depressed
四,deprive,deprivation,
四,depth,,
四,deputy,,
六,derail,derailment,
六,deregulate,deregulation,
四,derive,derivative;derivation,
四,descend,descent;descendant,
四,describe,description;descriptive,
四,desert,desertion,
四,deserve,,
四,design,designer,
六,designate,designation,
四,desire,desirable;desirability;desirous,desired
四,desk,,
四,desktop,,
六,desolate,,
四,despair,desperate,desperately
六,despise,,
四,despite,,
四,dessert,,
四,destination,,
六,destiny,destined,
四,destroy,destruction;destructive,
六,detach,detached;detachment,
四,detail,detailed,
六,detain,detention,
四,detect,detection;detective,detector(研)
六,deter,deterrent,
六,detergent,,
四,deteriorate,deterioration,
四,determine,determination;determined,
六,detriment,detrimental,
六,devastate,devastating;devastation,
四,develop,development;developmental;developer;underdeveloped(四),developing;developed
六,deviate,deviation,
四,device,,
四,devil,,
四,devise,,
四,devote,devotion,devoted
六,devour,,
四,dew,,
四,diabetes,,
四,diagnose,diagnosis,diagnostic
四,diagram,,
四,dial,,
四,dialect,,
四,dialog(ue),,dialogue
四,diameter,,
四,diamond,,
四,diary,,
四,dictate,dictation;dictator,
四,dictionary,,
四,die,dying,
六,diesel,,
四,diet,dietary,
四,differ,difference;different,differently
六,differentiate,differentiation,
四,difficult,difficulty,
六,diffuse,diffusion,
四,dig,,
四,digest,digestion;digestive,
四,digit,digital,
四,dignity,dignify,
四,dilemma,,
